NID,FID,Group,GestureF,IncorrectF,CorrectF,ERF,RID,GestureR,IncorrectR,CorrectR,RatioR,IncorrectT,CorrectT,ERT
20,829031915,Control,FR,0,5,0,904212651,FR,0,5,1,0,10,0
20,829031727,Control,FU,0,5,0,904212518,FU,0,5,1,0,10,0
21,829032737,Glissando,DFR,0,5,0,908005321,DFR,0,5,1,0,10,0
21,829032928,Glissando,FD,0,5,0,908005448,FD,0,5,1,0,10,0
21,829032331,Glissando,FL,0,5,0,908005145,FL,0,5,1,0,10,0
21,829032839,Glissando,FR,0,5,0,908005407,FR,0,5,1,0,10,0
21,829032637,Glissando,FU,0,5,0,908005233,FU,0,5,1,0,10,0
22,829035808,Control,DFR,0,5,0,904230653,DFR,0,5,1,0,10,0
22,829040008,Control,FD,0,5,0,904230840,FD,1,5,0.833333333,1,10,0.090909091
22,829035410,Control,FL,0,5,0,904230434,FL,0,5,1,0,10,0
22,829035911,Control,FR,0,5,0,904230750,FR,0,5,1,0,10,0
22,829035654,Control,FU,0,5,0,904230610,FU,0,5,1,0,10,0
23,829042058,Glissando,DFR,0,5,0,905024328,DFR,0,5,1,0,10,0
23,829042242,Glissando,FD,1,5,0.166666667,905024507,FD,0,5,1,1,10,0.090909091
23,829041639,Glissando,FL,1,5,0.166666667,905024046,FL,0,5,1,1,10,0.090909091
23,829042156,Glissando,FR,0,5,0,905024423,FR,0,5,1,0,10,0
23,829041955,Glissando,FU,0,5,0,905024238,FU,0,5,1,0,10,0
24,829043202,Control,DFR,0,5,0,905023704,DFR,0,5,1,0,10,0
24,829043344,Control,FD,0,5,0,905023828,FD,0,5,1,0,10,0
24,829042744,Control,FL,1,5,0.166666667,905023454,FL,0,5,1,1,10,0.090909091
24,829043256,Control,FR,1,5,0.166666667,905023747,FR,0,5,1,1,10,0.090909091
24,829043039,Control,FU,0,5,0,905023622,FU,0,5,1,0,10,0
25,829044214,Glissando,DFR,1,5,0.166666667,905035613,DFR,3,5,0.625,4,10,0.285714286
25,829044500,Glissando,FD,0,5,0,905035837,FD,0,5,1,0,10,0
25,829043832,Glissando,FL,0,5,0,905035341,FL,0,5,1,0,10,0
25,829044409,Glissando,FR,0,5,0,905035750,FR,1,5,0.833333333,1,10,0.090909091
25,829044114,Glissando,FU,0,5,0,905035534,FU,0,5,1,0,10,0
26,829045537,Control,DFL,1,5,0.166666667,905020942,DFL,1,5,0.833333333,2,10,0.166666667
26,829045721,Control,FD,1,5,0.166666667,905021129,FD,0,5,1,1,10,0.090909091
26,829045330,Control,FL,0,5,0,905020725,FL,0,5,1,0,10,0
26,829045635,Control,FR,0,5,0,905021043,FR,1,5,0.833333333,1,10,0.090909091
26,829045438,Control,FU,0,5,0,905020857,FU,0,5,1,0,10,0
28,901213252,Control,DFR,0,5,0,908215557,DFR,1,5,0.833333333,1,10,0.090909091
28,901213424,Control,FD,0,5,0,908215727,FD,0,5,1,0,10,0
28,901213006,Control,FL,0,5,0,908215328,FL,3,5,0.625,3,10,0.230769231
28,901213339,Control,FR,0,5,0,908215644,FR,0,5,1,0,10,0
28,901213153,Control,FU,0,5,0,908215514,FU,0,5,1,0,10,0
29,901222226,Glissando,DFR,0,5,0,909011137,DFR,0,5,1,0,10,0
29,901222405,Glissando,FD,0,5,0,909011304,FD,0,5,1,0,10,0
29,901221857,Glissando,Fl,0,5,0,909010921,FL,0,5,1,0,10,0
29,901222319,Glissando,FR,1,5,0.166666667,909011221,FR,0,5,1,1,10,0.090909091
29,901222138,Glissando,FU,0,5,0,909011050,FU,0,5,1,0,10,0
30,901231941,Control,DFR,1,5,0.166666667,908233341,DFR,2,5,0.714285714,3,10,0.230769231
30,901232126,Control,FD,0,5,0,908233509,FD,1,5,0.833333333,1,10,0.090909091
30,901231638,Control,FL,0,5,0,908233053,FL,13,5,0.277777778,13,10,0.565217391
30,901232031,Control,FR,3,5,0.375,908233431,FR,0,5,1,3,10,0.230769231
30,901231845,Control,FU,1,5,0.166666667,908233254,FU,0,5,1,1,10,0.090909091
31,902000208,Glissando,DFR,1,5,0.166666667,909235005,DFR,7,5,0.416666667,8,10,0.444444444
31,902000431,Glissando,FD,0,5,0,909235244,FD,0,5,1,0,10,0
31,901235733,Glissando,FL,1,5,0.166666667,909234751,FL,0,5,1,1,10,0.090909091
31,902000333,Glissando,FR,2,5,0.285714286,909235156,FR,1,5,0.833333333,3,10,0.230769231
31,902000029,Glissando,FU,2,5,0.285714286,909234920,FU,0,5,1,2,10,0.166666667
32,902001041,Control,DFL,0,5,0,909022517,DFL,0,5,1,0,10,0
32,902001225,Control,FD,0,5,0,909022644,FD,0,5,1,0,10,0
32,902000657,Control,FL,0,5,0,909022333,FL,1,5,0.833333333,1,10,0.090909091
32,902001139,Control,FR,0,5,0,909022601,FR,0,5,1,0,10,0
32,902000940,Control,FU,0,5,0,909022424,FU,0,5,1,0,10,0
33,902001832,Glissando,DFR,0,5,0,909025754,DFR,0,5,1,0,10,0
33,902002019,Glissando,FD,0,5,0,909025938,FD,0,5,1,0,10,0
33,902001426,Glissando,Fl,0,5,0,909025610,FL,0,5,1,0,10,0
33,902001931,Glissando,FR,0,5,0,909025841,FR,0,5,1,0,10,0
33,902001717,Glissando,FU,0,5,0,909025703,FU,0,5,1,0,10,0
34,902002755,Control,DFR,0,5,0,909001249,FL,0,5,1,0,10,0
34,902002945,Control,FD,0,5,0,909001437,FU,0,5,1,0,10,0
34,902002326,Control,FL,0,5,0,909001546,DFR,0,5,1,0,10,0
34,902002854,Control,FL,0,5,0,909001640,FR,0,5,1,0,10,0
34,902002626,Control,FU,0,5,0,909001759,FD,0,5,1,0,10,0
35,902005611,Glissando,DFR,2,5,0.285714286,909213119,FL,0,5,1,5,10,0.333333333
35,902005742,Glissando,FD,0,5,0,909213245,FU,0,5,1,0,10,0
35,902005143,Glissando,FL,2,5,0.285714286,909213327,DFR,3,5,0.625,2,10,0.166666667
35,902005706,Glissando,FR,0,5,0,909213426,FR,0,5,1,0,10,0
35,902005527,Glissando,FU,1,5,0.166666667,909213508,FD,0,5,1,1,10,0.090909091
36,902004003,Control,DFR,2,5,0.285714286,908231401,FL,4,5,0.555555556,2,10,0.166666667
36,902004143,Control,FD,0,5,0,908231521,FU,0,5,1,0,10,0
36,902003427,Control,FL,18,5,0.782608696,908231616,DFR,0,5,1,18,10,0.642857143
36,902004100,Control,FL,0,5,0,908231703,FR,0,5,1,0,10,0
36,902003902,Control,FU,1,5,0.166666667,908231746,FD,0,5,1,1,10,0.090909091
37,902011140,Glissando,DFR,0,5,0,909205608,DFR,0,5,1,0,10,0
37,902011336,Glissando,FD,0,5,0,909205735,FD,3,5,0.625,3,10,0.230769231
37,902010635,Glissando,FL,1,5,0.166666667,909205338,FL,0,5,1,1,10,0.090909091
37,902011227,Glissando,FR,3,5,0.375,909205651,FR,0,5,1,3,10,0.230769231
37,902011043,Glissando,FU,0,5,0,909205512,FU,2,5,0.714285714,2,10,0.166666667
38,902012733,Control,DFR,6,5,0.545454545,908211813,DFR,0,5,1,6,10,0.375
38,902013015,Control,FD,0,5,0,908211945,FD,4,5,0.555555556,4,10,0.285714286
38,902012339,Control,FL,0,5,0,908211548,FL,0,5,1,0,10,0
38,902012921,Control,FR,0,5,0,908211902,FR,0,5,1,0,10,0
38,902012624,Control,FU,0,5,0,908211728,FU,0,5,1,0,10,0
40,902022203,Control,DFR,0,5,0,909020638,DFR,1,5,0.833333333,1,10,0.090909091
40,902022345,Control,FD,0,5,0,909020816,FD,0,5,1,0,10,0
40,902021905,Control,FL,0,5,0,909020444,FL,0,5,1,0,10,0
40,902022257,Control,FR,0,5,0,909020735,FR,0,5,1,0,10,0
40,902022105,Control,FU,0,5,0,909020538,FU,1,5,0.833333333,1,10,0.090909091
42,902033244,Control,DFR,0,5,0,910030151,DFR,0,5,1,0,10,0
42,902033426,Control,FD,0,5,0,910030336,FD,0,5,1,0,10,0
42,902033044,Control,FL,0,5,0,910025930,FL,0,5,1,0,10,0
42,902033340,Control,FR,0,5,0,910030239,FR,3,5,0.625,3,10,0.230769231
42,902033146,Control,FU,1,5,0.166666667,910030105,FU,0,5,1,1,10,0.090909091
43,902042407,Glissando,DFR,2,5,0.285714286,910010423,DFR,14,5,0.263157895,16,10,0.615384615
43,902042843,Glissando,FD,0,5,0,910010847,FD,0,5,1,0,10,0
43,902042142,Glissando,FL,0,5,0,910010150,FL,4,5,0.555555556,4,10,0.285714286
43,902042737,Glissando,FR,0,5,0,910010736,FR,5,5,0.5,5,10,0.333333333
43,902042309,Glissando,FU,0,5,0,910010332,FU,1,5,0.833333333,1,10,0.090909091
45,902040107,Control,DFR,0,5,0,909035444,DFR,0,5,1,0,10,0
45,902035934,Control,FD,0,5,0,909035611,FD,0,5,1,0,10,0
45,902035725,Control,FL,0,5,0,909035223,FL,0,5,1,0,10,0
45,902040021,Control,FR,0,5,0,909035528,FR,0,5,1,0,10,0
45,902035833,Control,FU,1,5,0.166666667,909035356,FU,0,5,1,1,10,0.090909091
46,902230022,Glissando,DFR,1,5,0.166666667,909230015,DFR,2,5,0.714285714,3,10,0.230769231
46,902230159,Glissando,FD,0,5,0,909230151,FD,1,5,0.833333333,1,10,0.090909091
46,902225824,Glissando,FL,0,5,0,909225809,FL,0,5,1,0,10,0
46,902230114,Glissando,FR,0,5,0,909230111,FR,0,5,1,0,10,0
46,902225933,Glissando,FU,0,5,0,909225932,FU,0,5,1,0,10,0
47,902235949,Control,DFR,0,5,0,908225537,DFR,3,5,0.625,3,10,0.230769231
47,903000154,Control,FD,0,5,0,908225742,FD,0,5,1,0,10,0
47,902235621,Control,FL,8,5,0.615384615,908225223,FL,8,5,0.384615385,16,10,0.615384615
47,903000051,Control,FR,2,5,0.285714286,908225653,FR,0,5,1,2,10,0.166666667
47,902235839,Control,FU,0,5,0,908225358,FU,6,5,0.454545455,6,10,0.375
27,901205637,Glissando,DFR,0,5,0,915210334,DFR,0,5,1,0,10,0
27,901205910,Glissando,FD,0,5,0,915210551,FD,1,5,0.833333333,1,10,0.090909091
27,901205205,Glissando,FL,1,5,0.166666667,915205945,FL,6,0,0,7,5,0.583333333
27,901205758,Glissando,FR,0,5,0,915210424,FR,3,5,0.625,3,10,0.230769231
27,901205534,Glissando,FU,0,5,0,915210239,FU,0,5,1,0,10,0
48,912041858,Glissando,DFR,0,5,0,917234843,DFR,0,5,1,0,10,0
48,912042049,Glissando,FD,0,5,0,917235057,FD,0,5,1,0,10,0
48,912041542,Glissando,FL,0,5,0,917234505,FL,9,0,0,9,5,0.642857143
48,912042001,Glissando,FR,0,5,0,917234932,FR,12,0,0,12,5,0.705882353
48,912041801,Glissando,FU,0,5,0,917234752,FU,0,5,1,0,10,0
