Participant, ParticipantID, Condition, Gesture, Attempt Number, Outcome, Gesture Length (ns), Ideal Gesture Length, Difference,Diff,,Participant, ParticipantID, Condition, Gesture, Attempt Number, Outcome, Gesture Length (ns), Ideal Gesture Length, Difference,Diff
10,829000638, Control, Flick Right,2, Correct,201701303,1004000000,802298697,,,8,904235404, Return, Flick Up,3, Correct,742194583,1007000000,264805417,
10,829000638, Control, Flick Right,3, Correct,180700625,1004000000,823299375,,,8,904235404, Return, Flick Up,4, Correct,469860990,1007000000,537139010,
10,829000638, Control, Flick Right,4, Correct,268812708,1004000000,735187292,112513385,,8,904235404, Return, Flick Up,5, Correct,375274219,1007000000,631725781,-241599637
10,829000427, Control, Flick Up,0, Correct,317357188,1007000000,689642812,,,9,904232131, Return, Double Flip Left,0, Correct,513219583,1010000000,496780417,
10,829000427, Control, Flick Up,1, Correct,398796406,1007000000,608203594,,,9,904232131, Return, Double Flip Left,1, Correct,380348020,1010000000,629651980,
10,829000427, Control, Flick Up,4, Correct,395028280,1007000000,611971720,,,9,904232131, Return, Double Flip Left,2, Correct,336279532,1010000000,673720468,
10,829000427, Control, Flick Up,5, Correct,482394272,1007000000,524605728,,,9,904232131, Return, Double Flip Left,3, Correct,381421354,1010000000,628578646,
10,829000427, Control, Flick Up,6, Correct,625484687,1007000000,381515313,-308127499,,9,904232131, Return, Double Flip Left,4, Correct,379903438,1010000000,630096562,-6147135
12,829003804, Control, Double Flip Right,0, Correct,147741405,1010000000,862258595,,,9,904232325, Return, Flick Down,0, Correct,591236562,1004000000,412763438,
12,829003804, Control, Double Flip Right,1, Correct,123001042,1010000000,886998958,,,9,904232325, Return, Flick Down,1, Correct,579130261,1004000000,424869739,
12,829003804, Control, Double Flip Right,2, Correct,184395885,1010000000,825604115,,,9,904232325, Return, Flick Down,2, Correct,560088021,1004000000,443911979,
12,829003804, Control, Double Flip Right,3, Correct,55047553,1010000000,954952447,,,9,904232325, Return, Flick Down,3, Correct,471664271,1004000000,532335729,
12,829003804, Control, Double Flip Right,4, Correct,134313385,1010000000,875686615,13428020,,9,904232325, Return, Flick Down,4, Correct,349935938,1004000000,654064062,-91760833
12,829003952, Control, Flick Down,0, Correct,82752084,1004000000,921247916,,,9,904231909, Return, Flick Left,0, Correct,426399740,1005000000,578600260,
12,829003952, Control, Flick Down,1, Correct,79132136,1004000000,924867864,,,9,904231909, Return, Flick Left,1, Correct,425038803,1005000000,579961197,
12,829003952, Control, Flick Down,2, Correct,77622448,1004000000,926377552,,,9,904231909, Return, Flick Left,2, Correct,503753073,1005000000,501246927,
12,829003952, Control, Flick Down,3, Correct,67849426,1004000000,936150574,,,9,904231909, Return, Flick Left,3, Correct,532530469,1005000000,472469531,
12,829003952, Control, Flick Down,4, Correct,86869636,1004000000,917130364,-4117552,,9,904231909, Return, Flick Left,4, Correct,513393437,1005000000,491606563,-182594531
12,829003512, Control, Flick Left,2, Correct,473354635,1005000000,531645365,,,9,904232235, Return, Flick Right,0, Correct,336065989,1004000000,667934011,
12,829003512, Control, Flick Left,3, Correct,364926719,1005000000,640073281,,,9,904232235, Return, Flick Right,1, Correct,478484374,1004000000,525515626,
12,829003512, Control, Flick Left,4, Correct,409708438,1005000000,595291562,,,9,904232235, Return, Flick Right,3, Correct,313714218,1004000000,690285782,
12,829003512, Control, Flick Left,5, Correct,430008853,1005000000,574991147,,,9,904232235, Return, Flick Right,4, Correct,374664114,1004000000,629335886,
12,829003512, Control, Flick Left,6, Correct,235471771,1005000000,769528229,237882864,,9,904232235, Return, Flick Right,5, Correct,324101823,1004000000,679898177,138729323
12,829003900, Control, Flick Right,0, Correct,129701563,1004000000,874298437,,,9,904232036, Return, Flick Up,0, Correct,506820573,1007000000,500179427,
12,829003900, Control, Flick Right,1, Correct,227606302,1004000000,776393698,,,9,904232036, Return, Flick Up,1, Correct,546887708,1007000000,460112292,
12,829003900, Control, Flick Right,2, Correct,91891145,1004000000,912108855,,,9,904232036, Return, Flick Up,2, Correct,572136042,1007000000,434863958,
12,829003900, Control, Flick Right,3, Correct,94805886,1004000000,909194114,,,9,904232036, Return, Flick Up,3, Correct,432836666,1007000000,574163334,
12,829003900, Control, Flick Right,4, Correct,71408646,1004000000,932591354,58292917,,9,904232036, Return, Flick Up,4, Correct,362138073,1007000000,644861927,-108734843
12,829003654, Control, Flick Up,0, Correct,625114531,1007000000,381885469,,,10,905015939, Return, Double Flip Right,0, Correct,323474375,1010000000,686525625,
12,829003654, Control, Flick Up,1, Correct,344456666,1007000000,662543334,,,10,905015939, Return, Double Flip Right,2, Correct,205830209,1010000000,804169791,
12,829003654, Control, Flick Up,2, Correct,302418906,1007000000,704581094,,,10,905015939, Return, Double Flip Right,3, Correct,250718437,1010000000,759281563,
12,829003654, Control, Flick Up,3, Correct,257023333,1007000000,749976667,,,10,905015939, Return, Double Flip Right,4, Correct,191995260,1010000000,818004740,
12,829003654, Control, Flick Up,4, Correct,241836198,1007000000,765163802,383278333,,10,905015939, Return, Double Flip Right,5, Correct,120969635,1010000000,889030365,170142813
14,829013346, Control, Double Flip Right,0, Correct,530612813,1010000000,,,,10,905020110, Return, Flick Down,0, Correct,452356927,1004000000,551643073,
14,829013346, Control, Double Flip Right,1, Correct,571950781,1010000000,,,,10,905020110, Return, Flick Down,1, Correct,495945001,1004000000,508054999,
14,829013346, Control, Double Flip Right,2, Correct,554765574,1010000000,,,,10,905020110, Return, Flick Down,2, Correct,380032448,1004000000,623967552,
14,829013346, Control, Double Flip Right,3, Correct,430594479,1010000000,,,,10,905020110, Return, Flick Down,3, Correct,395067864,1004000000,608932136,
14,829013346, Control, Double Flip Right,4, Correct,430326145,1010000000,,100286668,,10,905020110, Return, Flick Down,4, Correct,506357083,1004000000,497642917,-274098229
