Group,PID,Trial,Total,Correct,AvgDepth,AvgRecoil,AvgRate,NumBadDepth,NumBadRecoil,NumBadRate,GoodDepth,GoodRecoil,GoodRate,GoodDepthRecoil,GoodDepthRate,GoodRecoilRate
2,20,1,195,0.784615385,-2.566299293,-0.09061508,96.71987317,0,2,40,1,0.98974359,0.794871795,0.98974359,0.794871795,0.784615385
2,20,2,204,0.970588235,-2.609591347,-0.144887093,103.1951067,0,4,2,1,0.980392157,0.990196078,0.980392157,0.990196078,0.970588235
2,20,3,228,0.98245614,-2.506568144,-0.065985086,115.5479929,1,0,4,0.995614035,1,0.98245614,0.995614035,0.98245614,0.98245614
3,21,1,176,0.267045455,-2.091167103,0.229930453,88.19291337,64,0,129,0.636363636,1,0.267045455,0.636363636,0.267045455,0.267045455
3,21,2,233,0.566523605,-2.118077121,-0.087699558,120.9083156,28,31,61,0.879828326,0.86695279,0.738197425,0.776824034,0.665236052,0.618025751
3,21,3,232,0.879310345,-2.28058921,0.102512327,117.8709679,13,0,16,0.943965517,1,0.931034483,0.943965517,0.879310345,0.931034483
1,22,1,183,0.174863388,-2.452639001,0.596885356,90.38076576,2,0,151,0.989071038,1,0.174863388,0.989071038,0.174863388,0.174863388
1,22,2,197,0.705583756,-2.619868076,0.33163839,100.6619409,0,0,58,1,1,0.705583756,1,0.705583756,0.705583756
1,22,3,213,0.906103286,-2.607646842,0.242809146,107.6934326,0,0,20,1,1,0.906103286,1,0.906103286,0.906103286
2,23,1,205,0.692682927,-2.419348479,-0.092745962,107.2379644,2,18,48,0.990243902,0.912195122,0.765853659,0.902439024,0.765853659,0.692682927
2,23,2,231,0.753246753,-2.150297594,0.074004161,115.5578839,23,0,41,0.9004329,1,0.822510823,0.9004329,0.753246753,0.822510823
2,23,3,202,0.732673267,-2.513896382,-0.025612074,101.0534206,3,10,42,0.985148515,0.95049505,0.792079208,0.935643564,0.782178218,0.742574257
3,24,1,204,0.970588235,-2.480706029,0.047657674,104.0313144,3,1,3,0.985294118,0.995098039,0.985294118,0.980392157,0.975490196,0.980392157
3,24,2,117,0.760683761,-2.344491879,-0.167622515,108.3889299,0,19,9,1,0.837606838,0.923076923,0.837606838,0.923076923,0.760683761
3,24,3,206,0.946601942,-2.313319638,0.080136593,103.6294816,2,0,9,0.990291262,1,0.95631068,0.990291262,0.946601942,0.95631068
