Participant,FirstID,Condition,GestureF,IncorrectF,CorrectF,ErrorRateF,ReturnID,GestureR,IncorrectR,CorrectR,ErrorRateR,IncorrectT,CorrectT,ErrorRateT,,
15,829021340,Glissando,FlickRight,1,5,0.166666667,904005811,FlickRight,0,5,0,1,10,0.090909091,,
15,829021128,Glissando,FlickUp,0,5,0,904005642,FlickUp,0,5,0,0,10,0,,
15,829021228,Glissando,ALL,1,25,0.038461538,904005726,ALL,1,25,0.038461538,2,50,0.038461538,,
16,829022443,Control,DoubleFlip,1,5,0.166666667,904012112,DoubleFlip,2,5,0.285714286,3,10,0.230769231,,
16,829022717,Control,FlickDown,0,5,0,904012243,FlickDown,0,5,0,0,10,0,,
16,829022003,Control,FlickLeft,1,5,0.166666667,904011859,FlickLeft,0,5,0,1,10,0.090909091,,
16,829022558,Control,FlickRight,1,5,0.166666667,904012204,FlickRight,0,5,0,1,10,0.090909091,,
16,829022228,Control,FlickUp,0,5,0,904012024,FlickUp,0,5,0,0,10,0,,
16,829022443,Control,ALL,3,25,0.107142857,904012112,ALL,2,25,0.074074074,5,50,0.090909091,,
17,829025345,Glissando,DoubleFlip,1,5,0.166666667,904223936,DoubleFlip,0,5,0,1,10,0.090909091,,
17,829025616,Glissando,FlickDown,1,5,0.166666667,904224106,FlickDown,0,5,0,1,10,0.090909091,,
17,829024939,Glissando,FlickLeft,0,5,0,904223719,FlickLeft,0,5,0,0,10,0,,
17,829025459,Glissando,FlickRight,0,5,0,904224020,FlickRight,0,5,0,0,10,0,,
17,829025242,Glissando,FlickUp,0,5,0,904223845,FlickUp,1,5,0.166666667,1,10,0.090909091,,
17,829025345,Glissando,ALL,2,25,0.074074074,904223936,ALL,1,25,0.038461538,3,50,0.056603774,,
19,829030700,Glissando,DoubleFlip,0,5,0,908000230,DoubleFlip,0,5,0,1,10,0.090909091,,
19,829030944,Glissando,FlickDown,0,5,0,908000419,FlickDown,0,5,0,0,10,0,,
19,829030408,Glissando,FlickLeft,0,5,0,908000010,FlickLeft,0,5,0,0,10,0,,
19,829030853,Glissando,FlickRight,0,5,0,908000325,FlickRight,0,5,0,0,10,0,,
19,829030700,Glissando,FlickUp,0,5,0,908000122,FlickUp,1,5,0.166666667,0,10,0,,
19,829030700,Glissando,ALL,0,25,0,908000230,ALL,1,25,0.038461538,1,50,0.019607843,,
20,829031820,Control,DoubleFlip,1,5,0.166666667,904212344,DoubleFlip,1,5,0.166666667,1,10,0.090909091,,
20,829032009,Control,FlickDown,0,5,0,904212731,FlickDown,0,5,0,0,10,0,,
20,829031537,Control,FlickLeft,0,5,0,904212344,FlickLeft,0,5,0,1,10,0.090909091,,
20,829031915,Control,FlickRight,0,5,0,904212651,FlickRight,0,5,0,0,10,0,,
20,829031727,Control,FlickUp,0,5,0,904212518,FlickUp,0,5,0,0,10,0,,
20,829031820,Control,ALL,1,25,0.038461538,904212344,ALL,1,25,0.038461538,2,50,0.038461538,,
21,829032737,Glissando,DoubleFlip,0,5,0,908005321,DoubleFlip,0,5,0,0,10,0,,
21,829032928,Glissando,FlickDown,0,5,0,908005448,FlickDown,0,5,0,0,10,0,,
21,829032331,Glissando,FlickLeft,0,5,0,908005145,FlickLeft,0,5,0,0,10,0,,
21,829032839,Glissando,FlickRight,0,5,0,908005407,FlickRight,0,5,0,0,10,0,,
21,829032637,Glissando,FlickUp,0,5,0,908005233,FlickUp,0,5,0,0,10,0,,
21,829032737,Glissando,ALL,0,25,0,908005321,ALL,0,25,0,0,50,0,,
22,829035808,Control,DoubleFlip,0,5,0,904230653,DoubleFlip,0,5,0,0,10,0,,
22,829040008,Control,FlickDown,0,5,0,904230840,FlickDown,1,5,0.166666667,1,10,0.090909091,,
22,829035410,Control,FlickLeft,0,5,0,904230434,FlickLeft,0,5,0,0,10,0,,
22,829035911,Control,FlickRight,0,5,0,904230750,FlickRight,0,5,0,0,10,0,,
22,829035654,Control,FlickUp,0,5,0,904230610,FlickUp,0,5,0,0,10,0,,
22,829035808,Control,ALL,0,25,0,904230653,ALL,1,25,0.038461538,1,50,0.019607843,,
23,829042058,Glissando,DoubleFlip,0,5,0,905024328,DoubleFlip,0,5,0,0,10,0,,
23,829042242,Glissando,FlickDown,1,5,0.166666667,905024507,FlickDown,0,5,0,1,10,0.090909091,,
23,829041639,Glissando,FlickLeft,1,5,0.166666667,905024046,FlickLeft,0,5,0,1,10,0.090909091,,
23,829042156,Glissando,FlickRight,0,5,0,905024423,FlickRight,0,5,0,0,10,0,,
23,829041955,Glissando,FlickUp,0,5,0,905024238,FlickUp,0,5,0,0,10,0,,
23,829042058,Glissando,ALL,2,25,0.074074074,905024328,ALL,0,25,0,2,50,0.038461538,,
24,829043202,Control,DoubleFlip,0,5,0,905023704,DoubleFlip,0,5,0,0,10,0,,
24,829043344,Control,FlickDown,0,5,0,905023828,FlickDown,0,5,0,0,10,0,,
24,829042744,Control,FlickLeft,1,5,0.166666667,905023454,FlickLeft,0,5,0,1,10,0.090909091,,
24,829043256,Control,FlickRight,1,5,0.166666667,905023747,FlickRight,0,5,0,1,10,0.090909091,,
24,829043039,Control,FlickUp,0,5,0,905023622,FlickUp,0,5,0,0,10,0,,
24,829043202,Control,ALL,2,25,0.074074074,905023704,ALL,0,25,0,2,50,0.038461538,,
25,829044214,Glissando,DoubleFlip,1,5,0.166666667,905035613,DoubleFlip,3,5,0.375,4,10,0.285714286,,
25,829044500,Glissando,FlickDown,0,5,0,905035837,FlickDown,0,5,0,0,10,0,,
