Participant,ParticipantID,Condition,Trial,Gesture,AttemptNumber,Outcome,GestureLength(ns),IdealGestureLength,Difference,ABSDifference,,,,
7,904233626,Glissando,Return,FlickRight,3,Correct,2.31E+02,1.00E+03,7.73E+02,7.73E+02,,,,
7,904233626,Glissando,Return,FlickRight,4,Correct,1.79E+02,1.00E+03,8.25E+02,8.25E+02,,,,
7,904233339,Glissando,Return,FlickUp,0,Correct,3.21E+02,1.01E+03,6.86E+02,6.86E+02,,,,
7,904233339,Glissando,Return,FlickUp,1,Correct,3.24E+02,1.01E+03,6.83E+02,6.83E+02,,,,
7,904233339,Glissando,Return,FlickUp,2,Correct,3.30E+02,1.01E+03,6.77E+02,6.77E+02,,,,
7,904233339,Glissando,Return,FlickUp,3,Correct,4.35E+02,1.01E+03,5.72E+02,5.72E+02,,,,
7,904233339,Glissando,Return,FlickUp,4,Correct,2.85E+02,1.01E+03,7.22E+02,7.22E+02,,,,
8,828224215,Control,First,DoubleFlip,0,Correct,9.40E+02,1.01E+03,6.99E+01,6.99E+01,,,,
8,828224215,Control,First,DoubleFlip,1,Correct,5.39E+02,1.01E+03,4.71E+02,4.71E+02,,,,
8,828224215,Control,First,DoubleFlip,2,Correct,8.06E+02,1.01E+03,2.04E+02,2.04E+02,,,,
8,828224215,Control,First,DoubleFlip,3,Correct,1.15E+03,1.01E+03,-1.41E+02,1.41E+02,,,,
8,828224215,Control,First,DoubleFlip,4,Correct,7.42E+02,1.01E+03,2.68E+02,2.68E+02,,,,
8,828224803,Control,First,FlickDown,0,Correct,8.16E+01,1.00E+03,9.22E+02,9.22E+02,,,,
8,828224803,Control,First,FlickDown,1,Correct,2.90E+02,1.00E+03,7.14E+02,7.14E+02,,,,
8,828224803,Control,First,FlickDown,2,Correct,1.46E+02,1.00E+03,8.58E+02,8.58E+02,,,,
8,828224803,Control,First,FlickDown,3,Incorrect,1.60E+02,1.00E+03,8.44E+02,8.44E+02,,,,
8,828224803,Control,First,FlickDown,4,Correct,1.91E+02,1.00E+03,8.13E+02,8.13E+02,,,,
8,828224803,Control,First,FlickDown,5,Correct,4.52E+02,1.00E+03,5.52E+02,5.52E+02,,,,
8,828224459,Control,First,FlickLeft,0,Correct,4.76E+02,1.01E+03,5.29E+02,5.29E+02,,,,
8,828224459,Control,First,FlickLeft,1,Correct,3.43E+02,1.01E+03,6.62E+02,6.62E+02,,,,
8,828224459,Control,First,FlickLeft,2,Correct,4.27E+02,1.01E+03,5.78E+02,5.78E+02,,,,
8,828224459,Control,First,FlickLeft,3,Correct,5.88E+02,1.01E+03,4.17E+02,4.17E+02,,,,
8,828224459,Control,First,FlickLeft,4,Correct,2.65E+02,1.01E+03,7.40E+02,7.40E+02,,,,
8,828224711,Control,First,FlickRight,0,Correct,3.30E+02,1.00E+03,6.74E+02,6.74E+02,,,,
8,828224711,Control,First,FlickRight,1,Correct,1.21E+03,1.00E+03,-2.05E+02,2.05E+02,,,,
8,828224711,Control,First,FlickRight,2,Correct,2.73E+02,1.00E+03,7.31E+02,7.31E+02,,,,
8,828224711,Control,First,FlickRight,3,Correct,2.99E+02,1.00E+03,7.05E+02,7.05E+02,,,,
8,828224711,Control,First,FlickRight,4,Correct,4.14E+02,1.00E+03,5.90E+02,5.90E+02,,,,
8,828224620,Control,First,FlickUp,0,Correct,6.69E+02,1.01E+03,3.38E+02,3.38E+02,,,,
8,828224620,Control,First,FlickUp,1,Correct,4.63E+02,1.01E+03,5.44E+02,5.44E+02,,,,
8,828224620,Control,First,FlickUp,2,Correct,4.39E+02,1.01E+03,5.68E+02,5.68E+02,,,,
8,828224620,Control,First,FlickUp,3,Correct,5.30E+02,1.01E+03,4.77E+02,4.77E+02,,,,
8,828224620,Control,First,FlickUp,4,Correct,3.64E+02,1.01E+03,6.43E+02,6.43E+02,,,,
8,904235459,Control,Return,DoubleFlip,0,Aborted,0.00E+00,1.01E+03,1.01E+03,1.01E+03,,,,
