NID,FID,Group,GestureF,IncorrectF,CorrectF,RatioF,RID,GestureR,IncorrectR,CorrectR,RatioR,IncorrectT,CorrectT,RatioT,,
16,829022443,Control,ALL,3,25,0.892857143,904012112,ALL,2,25,0.925925926,5,50,0.909090909,,
17,829025345,Glissando,DF,1,5,0.833333333,904223936,DF,0,5,1,1,10,0.909090909,,
17,829025616,Glissando,FD,1,5,0.833333333,904224106,FD,0,5,1,1,10,0.909090909,,
17,829024939,Glissando,FL,0,5,1,904223719,FL,0,5,1,0,10,1,,
17,829025459,Glissando,FR,0,5,1,904224020,FR,0,5,1,0,10,1,,
17,829025242,Glissando,FU,0,5,1,904223845,FU,1,5,0.833333333,1,10,0.909090909,,
17,829025345,Glissando,ALL,2,25,0.925925926,904223936,ALL,1,25,0.961538462,3,50,0.943396226,,
19,829030700,Glissando,DF,0,5,1,908000230,DF,0,5,1,1,10,0.909090909,,
19,829030944,Glissando,FD,0,5,1,908000419,FD,0,5,1,0,10,1,,
19,829030408,Glissando,FL,0,5,1,908000010,FL,0,5,1,0,10,1,,
19,829030853,Glissando,FR,0,5,1,908000325,FR,0,5,1,0,10,1,,
19,829030700,Glissando,FU,0,5,1,908000122,FU,1,5,0.833333333,0,10,1,,
19,829030700,Glissando,ALL,0,25,1,908000230,ALL,1,25,0.961538462,1,50,0.980392157,,
20,829031820,Control,DF,1,5,0.833333333,904212344,DF,1,5,0.833333333,1,10,0.909090909,,
20,829032009,Control,FD,0,5,1,904212731,FD,0,5,1,0,10,1,,
20,829031537,Control,FL,0,5,1,904212344,FL,0,5,1,1,10,0.909090909,,
20,829031915,Control,FR,0,5,1,904212651,FR,0,5,1,0,10,1,,
20,829031727,Control,FU,0,5,1,904212518,FU,0,5,1,0,10,1,,
20,829031820,Control,ALL,1,25,0.961538462,904212344,ALL,1,25,0.961538462,2,50,0.961538462,,
21,829032737,Glissando,DF,0,5,1,908005321,DF,0,5,1,0,10,1,,
21,829032928,Glissando,FD,0,5,1,908005448,FD,0,5,1,0,10,1,,
21,829032331,Glissando,FL,0,5,1,908005145,FL,0,5,1,0,10,1,,
21,829032839,Glissando,FR,0,5,1,908005407,FR,0,5,1,0,10,1,,
21,829032637,Glissando,FU,0,5,1,908005233,FU,0,5,1,0,10,1,,
21,829032737,Glissando,ALL,0,25,1,908005321,ALL,0,25,1,0,50,1,,
22,829035808,Control,DF,0,5,1,904230653,DF,0,5,1,0,10,1,,
22,829040008,Control,FD,0,5,1,904230840,FD,1,5,0.833333333,1,10,0.909090909,,
22,829035410,Control,FL,0,5,1,904230434,FL,0,5,1,0,10,1,,
22,829035911,Control,FR,0,5,1,904230750,FR,0,5,1,0,10,1,,
22,829035654,Control,FU,0,5,1,904230610,FU,0,5,1,0,10,1,,
22,829035808,Control,ALL,0,25,1,904230653,ALL,1,25,0.961538462,1,50,0.980392157,,
23,829042058,Glissando,DF,0,5,1,905024328,DF,0,5,1,0,10,1,,
23,829042242,Glissando,FD,1,5,0.833333333,905024507,FD,0,5,1,1,10,0.909090909,,
23,829041639,Glissando,FL,1,5,0.833333333,905024046,FL,0,5,1,1,10,0.909090909,,
23,829042156,Glissando,FR,0,5,1,905024423,FR,0,5,1,0,10,1,,
23,829041955,Glissando,FU,0,5,1,905024238,FU,0,5,1,0,10,1,,
23,829042058,Glissando,ALL,2,25,0.925925926,905024328,ALL,0,25,1,2,50,0.961538462,,
